State,City/Location Name,Full Address,Phone Number
Alabama (AL),Sylacauga [AL],"75 MCS Blvd, 								Sylacauga, AL 35150",(256) 245-0096
Alabama (AL),Taylor & Vaughn,"8090 Vaughn Road, 								Montgomery, AL 36116",(334) 223-4904
Alabama (AL),The Grove,"5658 Grove Blvd, 								Hoover, AL 35226",(205) 989-1701
Alabama (AL),TigerTown,"2052 Tiger Town Pkwy, 								Opelika, AL 36801",(334) 741-7112
Alabama (AL),Troy (AL),"1121 Highway 231 S, 								Troy, AL 36081",(334) 566-0505
Alabama (AL),Troy University,"214 Adams Ctr, 								Troy, AL 36082",(334) 670-5858
Alabama (AL),Trussville (AL),"5886 Trussville Crossings Pkwy, 								Birmingham, AL 35235",(205) 661-0544
Alabama (AL),Tuscaloosa,"2015 McFarland Blvd E, 								Tuscaloosa, AL 35404",(205) 752-9999
Alabama (AL),Tuscaloosa Drive-Thru Only,"2014 McFarland Blvd E, 								Tuscaloosa, AL 35404",(205) 752-9999
Alabama (AL),Tuscaloosa South,"4900 Old Greensboro Rd, 								Tuscaloosa, AL 35405",(205) 247-9980
Alabama (AL),Tuskegee University,"1200 W Montgomery Rd, 								Tuskegee Institute, AL 36088",
Alabama (AL),University Drive,"4733 University Dr NW, 								Huntsville, AL 35816",(256) 837-1315
Alabama (AL),University of Alabama,"Bama Dining Services, 								Tuscaloosa, AL 35487",(205) 348-6816
Alabama (AL),University of Alabama - Huntsville,"507 John Wright Dr, 								Huntsville, AL 35899",(256) 824-5124
Alabama (AL),University of Alabama Birmingham Hospital,"625 19th St S, 								Birmingham, AL 35233",(205) 502-7005
Alabama (AL),University of Alabama-Birmingham - Hill Center,"1400 University Blvd, 								Birmingham, AL 35205",
Alabama (AL),University of Alabama-Lloyd Hall,"503 6th Ave, 								Tuscaloosa, AL 35404",(205) 348-6429
Alabama (AL),University of North Alabama,"1 Harrison Plz, 								Florence, AL 35632",(256) 765-5667
Alabama (AL),University of South Alabama,"350 Campus Dr, 								Mobile, AL 36688",(251) 460-6296
Alabama (AL),Valleydale,"5331 Valleydale Road, 								Hoover, AL 35242",(205) 963-0001
Alabama (AL),Vestavia Hills,"513 Montgomery Hwy, 								Vestavia Hills, AL 35216",(205) 824-3540
Alabama (AL),Whitesburg Drive,"4751 Whitesburg Dr SE, 								Huntsville, AL 35802",(256) 880-4080
Alabama (AL),Wildwood Centre,"211 Lakeshore Pkwy, 								Homewood, AL 35209",(205) 945-6062
Arizona (AZ),303 & Waddell,"16525 W Waddell Rd, 								Surprise, AZ 85388",(623) 250-7120
Arizona (AZ),7th Ave. & Roosevelt,"819 N 7th Ave, 								Phoenix, AZ 85007",(602) 412-1280
Arizona (AZ),89th & Shea,"10652 N 89th Pl, 								Scottsdale, AZ 85260",(480) 404-6798
Arizona (AZ),Ahwatukee Foothills Town Center,"5035 E Ray Rd, 								Phoenix, AZ 85044",(480) 961-6006
Arizona (AZ),Alma School & Southern,"1318 W Southern Ave, 								Mesa, AZ 85202",(480) 530-0318
Arizona (AZ),Arcadia,"4105 N 44th St, 								Phoenix, AZ 85018",(602) 840-4566
Arizona (AZ),Arizona & Ocotillo,"3871 S Arizona Ave, 								Chandler, AZ 85248",(480) 635-4850
Arizona (AZ),Arizona State University,"1290 S Normal Ave, 								Tempe, AZ 85281",(480) 965-2052
Arizona (AZ),Arizona State University - Downtown,"120 E Taylor St, 								Phoenix, AZ 85004",(602) 496-6715
Arizona (AZ),Arizona State University - West Campus,"4701 W Thunderbird Rd, 								Glendale, AZ 85306",(602) 543-3363
Arizona (AZ),Arrowhead,"16657 N 83rd Ave, 								Peoria, AZ 85382",(623) 878-0885
Arizona (AZ),Avondale,"10180 W McDowell Rd, 								Avondale, AZ 85392",(623) 907-4780
Arizona (AZ),Bethany Home,"1850 W Bethany Home Rd, 								Phoenix, AZ 85015",(602) 654-1850
Arizona (AZ),Camelback & 16th Street,"1601 E Camelback Rd, 								Phoenix, AZ 85016",(602) 264-4450
Arizona (AZ),Casa Grande,"893 N Promenade Pkwy, 								Casa Grande, AZ 85194",(520) 876-9001
Arizona (AZ),Chandler Festival,"2550 W Chandler Blvd, 								Chandler, AZ 85224",(480) 855-1555
Arizona (AZ),Chase Field,"401 E Jefferson St, 								Phoenix, AZ 85004",(602) 390-7528
Arizona (AZ),Crossroads Towne Center,"2900 E Germann Rd, 								Chandler, AZ 85286",(480) 812-1717
Arizona (AZ),Deer Valley,"3001 W Agua Fria Fwy, 								Phoenix, AZ 85027",(623) 581-3277
Arizona (AZ),El Con,"3605 E Broadway Blvd, 								Tucson, AZ 85716",(520) 321-4232
Arizona (AZ),Estrella Pkwy & I-10,"1065 N Estrella Pkwy, 								Goodyear, AZ 85338",(602) 237-6277
Arizona (AZ),Flagstaff,"1000 S Milton Rd, 								Flagstaff, AZ 86001",(928) 779-9111
Arizona (AZ),Flagstaff Route 66,"2401 E. Route 66, 								Flagstaff, AZ 86004",(928) 889-3111
Arizona (AZ),Gilbert Gateway Towne Center,"4908 S Power Rd, 								Mesa, AZ 85212",(480) 988-6252
Arizona (AZ),Goodyear,"1466 N Dysart Rd, 								Goodyear, AZ 85395",(623) 536-0241
Arizona (AZ),Grand Canyon University,"3300 W Camelback Rd, 								Phoenix, AZ 85017",(602) 639-6871
Arizona (AZ),Grand Canyon University - Diamondback Apartments,"2945 W Colter St, 								Phoenix, AZ 85017",(602) 639-6871
Arizona (AZ),Higley & Baseline,"5205 E Baseline Rd., 								Gilbert, AZ 85234",(480) 499-0089
Arizona (AZ),I-19 & Irvington,"1188 W. Irvington Road, 								Tucson, AZ 85714",(520) 741-2280
Arizona (AZ),Ina at Thornydale,"3943 W Ina Rd, 								Tucson, AZ 85741",(520) 744-6269
Arizona (AZ),Ironwood & Ocotillo,"30 W Ocotillo Rd, 								Queen Creek, AZ 85140",(480) 957-6988
Arizona (AZ),Mesa Riverview,"905 N Dobson Rd, 								Mesa, AZ 85201",(480) 834-0573
Arizona (AZ),Metrocenter,"3111 W Peoria Ave, 								Phoenix, AZ 85029",(602) 595-4003
Arizona (AZ),Norterra,"2575 W Jomax Road, 								Phoenix, AZ 85085",(602) 714-1538
Arizona (AZ),Northern Arizona University,"Nau Dining, 								Flagstaff, AZ 86011",(928) 523-8675
Arizona (AZ),Oracle Road,"4585 N Oracle Rd, 								Tucson, AZ 85705",(520) 408-2456
Arizona (AZ),Paradise Valley,"12031 N Tatum Blvd, 								Phoenix, AZ 85028",(602) 923-0388
Arizona (AZ),Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, 								Phoenix, AZ 85034",
Arizona (AZ),Power & McKellips,"6707 E McKellips Rd, 								Mesa, AZ 85215",(480) 641-1903
Arizona (AZ),Prescott Valley Crossroads,"5773 E State Route 69, 								Prescott Valley, AZ 86314",(928) 778-0112
Arizona (AZ),Queen Creek,"20455 E Rittenhouse Rd, 								Queen Creek, AZ 85142",(480) 834-0757
Arizona (AZ),Raintree Drive & 101,"14995 N 87th St, 								Scottsdale, AZ 85260",(480) 922-4540
Arizona (AZ),San Tan Village Marketplace,"2533 S Market St, 								Gilbert, AZ 85295",(480) 814-7200
Arizona (AZ),Scottsdale 101,"7000 E Mayo Blvd Bldg 2, 								Phoenix, AZ 85054",(480) 419-6039
Arizona (AZ),South Mountain,"7650 S 24th Street, 								Phoenix, AZ 85042",(602) 268-1257
Arizona (AZ),Stapley Drive,"1664 S Stapley Dr, 								Mesa, AZ 85204",(480) 892-9714
Arizona (AZ),Superstition Springs Center,"6555 E Southern Ave Ste 2012, 								Mesa, AZ 85206",(480) 981-1858
Arizona (AZ),Surprise Marketplace,"13725 W Bell Rd, 								Surprise, AZ 85374",(623) 584-7795
Arizona (AZ),Tanque Verde,"6675 E Grant Rd, 								Tucson, AZ 85715",(520) 305-4407
Arizona (AZ),Thunderbird,"5908 W Thunderbird Rd, 								Glendale, AZ 85306",(602) 283-4848
Arizona (AZ),University at Mill,"25 W University Dr, 								Tempe, AZ 85281",(480) 968-6899
Arizona (AZ),University of Arizona-SUMC,"1303 E University Blvd, 								Tucson, AZ 85719",(520) 626-0020
Arizona (AZ),Yuma,"1935 E 16th St, 								Yuma, AZ 85365",(928) 783-4321
Arkansas (AR),7th & Broadway,"701 Broadway St, 								Little Rock, AR 72201",(501) 436-6146
Arkansas (AR),Arkansas State University,"105 North Caraway, 								Jonesboro, AR 72401",(870) 680-4078
Arkansas (AR),Cabot,"801 W Main St., 								Cabot, AR 72023",(501) 431-2181
Arkansas (AR),Cantrell Road,"11525 Cantrell Rd, 								Little Rock, AR 72212",(501) 223-5111
Arkansas (AR),Chenal & Markham,"12500 W Markham St, 								Little Rock, AR 72211",(501) 228-0404
Arkansas (AR),Clinton National Airport,"1 Airport Rd, 								Little Rock, AR 72202",(501) 330-7251
Arkansas (AR),Conway Commons,"1115 E Oak St, 								Conway, AR 72032",(501) 513-1122
Arkansas (AR),Downtown Bentonville,"209 S Walton Blvd, 								Bentonville, AR 72712",(479) 273-3100
Arkansas (AR),Harding University,"2700 Harding University, 								Searcy, AR 72149",(501) 279-4202
Arkansas (AR),Henderson State University,"1100 Henderson St, 								Arkadelphia, AR 71999",
Arkansas (AR),Hot Springs,"100 Cornerstone Blvd, 								Hot Springs, AR 71913",(501) 520-0620
Arkansas (AR),Markham & University,"6201 W Markham St, 								Little Rock, AR 72205",(501) 663-8080
Arkansas (AR),Maumelle,"113 Commons Dr, 								Maumelle, AR 72113",(501) 851-1810
Arkansas (AR),McCain Boulevard,"4320 E McCain Blvd, 								North Little Rock, AR 72117",(501) 945-1818
Arkansas (AR),North College Avenue,"4180 N College Ave, 								Fayetteville, AR 72703",(479) 443-0343
Arkansas (AR),Otter Creek,"2 Bass Pro Dr, 								Little Rock, AR 72210",(501) 455-2226
Arkansas (AR),Ouachita Baptist University,"410 Ouachita St, 								Arkadelphia, AR 71998",(870) 245-5534
Arkansas (AR),Pine Bluff [AR],"5701 S. Olive St., 								Pine Bluff, AR 71603",(870) 619-1630
Arkansas (AR),Pleasant Grove Road,"2601 W Pleasant Grove Rd, 								Rogers, AR 72758",(479) 636-0515
Arkansas (AR),Razorback Road,"1369 W Martin Luther King Jr Blvd, 								Fayetteville, AR 72701",(479) 444-6053
Arkansas (AR),Reynolds Road,"2232 N Reynolds Rd, 								Bryant, AR 72022",(501) 653-0404
Arkansas (AR),Rogers Avenue,"6810 Rogers Ave, 								Fort Smith, AR 72903",(479) 484-5152
Arkansas (AR),Russellville,"3089 E Main St, 								Russellville, AR 72802",(479) 967-0220
Arkansas (AR),Searcy,"3683 E Race Ave, 								Searcy, AR 72143",(501) 268-0232
Arkansas (AR),Southern Arkansas University,"100 E University, 								Magnolia, AR 71753",(870) 235-4352
Arkansas (AR),Springdale at Sunset Ave,"5675 W Sunset Ave, 								Springdale, AR 72762",(479) 317-4320
Arkansas (AR),Turtle Creek,"1800 Red Wolf Blvd, 								Jonesboro, AR 72401",(870) 910-6611
Arkansas (AR),University of Arkansas - Monticello,"350 University Drive, 								Monticello, AR 71656",(870) 460-1900
Arkansas (AR),University of Arkansas - Pine Bluff,"1301 L A Prexy Davis Dr, 								Pine Bluff, AR 71601",(870) 575-8953
Arkansas (AR),University of Arkansas-Fayetteville,"435 N Garland Ave Ste 209, 								Fayetteville, AR 72701",(479) 575-5043
Arkansas (AR),University of Central Arkansas,"201 Donaghey Ave, 								Conway, AR 72035",(501) 450-5980
Arkansas (AR),Van Buren [AR],"1929 Fayetteville Rd, 								Van Buren, AR 72956",(479) 689-4222
Arkansas (AR),West Conway,"2510 Prince St, 								Conway, AR 72034",(501) 505-8645
Arkansas (AR),West Memphis,"206 W Service Rd, 								West Memphis, AR 72301",(870) 400-0081
Arkansas (AR),West Walnut,"4001 W Walnut St, 								Rogers, AR 72756",(479) 636-4664
Arkansas (AR),Whitaker Parkway,"4893 W Pauline Whitaker Pkwy, 								Rogers, AR 72758",(479) 254-4004
California (CA),101 & Telephone,"1321 Eastman Ave, 								Ventura, CA 93003",(805) 339-0977
California (CA),101 & Winnetka,"20101 Ventura Blvd, 								Woodland Hills, CA 91364",(818) 703-3002
California (CA),17th at Tustin,"1701 N Tustin Avenue, 								Santa Ana, CA 92705",(714) 662-9599
California (CA),190th & Western,"1811 190th Street, 								Torrance, CA 90503",
California (CA),405 & Atlantic LB,"3290 Atlantic Avenue, 								Long Beach, CA 90807",(562) 270-6221
California (CA),405 & Avalon,"20501 Avalon Blvd, 								Carson, CA 90746",(310) 956-9625
California (CA),405 at Jefferson (Los Angeles),"11750 Jefferson Blvd, 								Los Angeles, CA 90230",(310) 391-8364
California (CA),605 & Firestone,"10710 Firestone Blvd, 								Norwalk, CA 90650",(562) 239-4049
California (CA),7th & Fig In-Line,"660 S Figueroa St Ste 100, 								Los Angeles, CA 90017",(213) 624-2001
California (CA),91 & Orangethorpe,"5960 Orangethorpe Ave, 								Buena Park, CA 90620",(714) 994-2442
California (CA),Aliso Viejo In-Line DT,"26861 Aliso Creek Rd, 								Aliso Viejo, CA 92656",(949) 425-1685
California (CA),Antioch at Lone Tree Way,"5705 Lone Tree Way, 								Antioch, CA 94531",(925) 726-3448
California (CA),Arden Fair,"2101 Alta Arden Expy, 								Sacramento, CA 95825",(916) 922-2814
California (CA),Auburn Gold Rush,"2755 Grass Valley Hwy, 								Auburn, CA 95603",(530) 887-8302
California (CA),Auto Mall Parkway,"5539 Auto Mall Pkwy, 								Fremont, CA 94538",(510) 353-1678
California (CA),Avenue K & 15th St. SW,"1331 W Avenue K, 								Lancaster, CA 93534",(661) 495-0075
California (CA),Azusa,"900 E Alosta Ave, 								Azusa, CA 91702",(626) 334-7600
California (CA),Bakersfield,"5260 Stockdale Hwy, 								Bakersfield, CA 93309",(661) 327-5260
California (CA),Beach Boulevard,"16388 Beach Blvd, 								Westminster, CA 92683",(714) 847-3847
California (CA),Bear Valley Rd. & Mariposa,"12180 Mariposa Rd, 								Victorville, CA 92395",(760) 355-6637
California (CA),Blackstone,"8040 N Blackstone Ave, 								Fresno, CA 93720",(559) 432-3622
California (CA),Blossom Hill & Almaden Expy,"1162 Blossom Hill Rd, 								San Jose, CA 95118",(408) 978-7705
California (CA),Blue Oaks,"1490 Blue Oaks Blvd, 								Roseville, CA 95747",
California (CA),Bridgepointe San Mateo In-Line,"2210 Bridgepointe Pkwy, 								San Mateo, CA 94404",(650) 425-3119
California (CA),Bristol & MacArthur,"3601 S Bristol St, 								Santa Ana, CA 92704",(714) 540-0020
California (CA),California Baptist University,"8432 Magnolia Ave, 								Riverside, CA 92504",(951) 552-8079
California (CA),California Polytechnic State University,"1901 Marketplace, 								San Luis Obispo, CA 93407",(805) 756-5952
California (CA),Campbell & Saratoga,"1600 Saratoga Ave, 								San Jose, CA 95129",
California (CA),Carlsbad West,"5848 Avenida Encinas, 								Carlsbad, CA 92008",(760) 473-0842
California (CA),Carmel Mountain,"11670 Carmel Mountain Rd, 								San Diego, CA 92128",(858) 613-0573
California (CA),Carson & Vermont,"819 W Carson St, 								Torrance, CA 90502",(310) 870-7047
California (CA),Central Ave. & Riverside Plaza,"3640 Central Ave, 								Riverside, CA 92506",(951) 300-2029
California (CA),Cerritos,"18605 Gridley Rd, 								Cerritos, CA 90703",(562) 924-9408
California (CA),Chino Hills,"3640 Grand Ave, 								Chino Hills, CA 91709",(909) 628-4000
California (CA),Chula Vista West,"571 Broadway, 								Chula Vista, CA 91910",(619) 489-3174
California (CA),Cienega Triangle,"6801 S La Cienega Blvd, 								Los Angeles, CA 90045",(310) 995-8877
California (CA),Citrus Plaza,"27520 W Lugonia Ave, 								Redlands, CA 92374",(909) 307-8719
California (CA),City of Industry,"21550 Valley Blvd, 								City Of Industry, CA 91789",(909) 598-6300
California (CA),Clairemont,"5955 Balboa Ave, 								San Diego, CA 92111",(858) 277-3333
California (CA),Colonies Crossroads,"1949 N Campus Ave, 								Upland, CA 91784",(909) 931-7123
California (CA),Crenshaw & Amsler,"24630 Crenshaw Blvd, 								Torrance, CA 90505",(310) 563-7155
California (CA),Crenshaw & Redondo Beach Blvd,"16210 Crenshaw Blvd, 								Gardena, CA 90249",(310) 243-2910
California (CA),Crossings at South Corona,"3555 Grand Oaks, 								Corona, CA 92881",(951) 898-0608
California (CA),Day Street,"2885 Canyon Springs Pkwy, 								Riverside, CA 92507",(951) 656-6503
California (CA),Del Amo In-Line,"21821 Hawthorne Blvd, 								Torrance, CA 90503",(310) 542-4636
California (CA),Del Rey & Lincoln Drive-Thru Only,"4050 Lincoln Blvd, 								Venice, CA 90292",(310) 301-3330
California (CA),Del Sur,"17115 Camino Del Sur, 								San Diego, CA 92127",(858) 759-1865
California (CA),Delta Shores,"8104 Delta Shores Cir S, 								Sacramento, CA 95832",(916) 665-2481
California (CA),Devonshire & Reseda,"18521 Devonshire St, 								Northridge, CA 91324",(818) 741-1234
California (CA),Dexter Avenue,"18601 Dexter Ave, 								Lake Elsinore, CA 92532",(951) 471-1123
California (CA),Downey,"8613 Firestone Blvd, 								Downey, CA 90241",(562) 923-8866
California (CA),E. Colorado Blvd,"1700 E Colorado Blvd, 								Pasadena, CA 91106",(626) 793-7636
California (CA),Eastlake Terraces,"2089 Olympic Pkwy, 								Chula Vista, CA 91915",(619) 482-6719
California (CA),El Camino Real at Scott,"1950 El Camino Real, 								Santa Clara, CA 95050",(408) 551-0201
California (CA),El Toro Road,"24011 El Toro Rd, 								Laguna Hills, CA 92653",(949) 458-3544
California (CA),Elk Grove Marketplace,"8430 Bond Rd, 								Elk Grove, CA 95624",(916) 714-0744
California (CA),Emeryville,"1525 40th St, 								Oakland, CA 94608",(510) 410-0759
California (CA),Encinitas In-Line DT,"194 N El Camino Real, 								Encinitas, CA 92024",(760) 517-6010
California (CA),Enos Ranch,"605 E Betteravia Rd, 								Santa Maria, CA 93454",(805) 347-1044
California (CA),Escondido,"1290 Auto Park Way, 								Escondido, CA 92029",(760) 738-9200
California (CA),Fairfield In-Line DT,"1750 Travis Blvd, 								Fairfield, CA 94533",(707) 421-9631
California (CA),Fashion Fair,"765 E Shaw Ave, 								Fresno, CA 93710",(559) 226-1967
California (CA),Fashion Island Shopping Center,"401 Newport Center Dr Ste A108, 								Newport Beach, CA 92660",(949) 719-0664
California (CA),Firestone & Garfield,"5860 Firestone Blvd, 								South Gate, CA 90280",(562) 364-4432
California (CA),First Street,"53 Headquarters Dr, 								San Jose, CA 95134",(408) 526-0600
California (CA),Folsom,"2679 E Bidwell St, 								Folsom, CA 95630",(916) 817-2697
California (CA),Foothill Ranch,"26792 Portola Pkwy, 								Foothill Ranch, CA 92610",(949) 699-3881
California (CA),Fullerton,"151 E Orangethorpe Ave, 								Fullerton, CA 92832",(714) 278-9888
California (CA),Gilroy at 10th,"7060 Chestnut St., 								Gilroy, CA 95020",(408) 883-7878
California (CA),Glendora Commons In-Line DT,"1247 S Lone Hill Ave, 								Glendora, CA 91740",(909) 394-3000
California (CA),Goldenwest & Warner,"16961 Goldenwest St, 								Huntington Beach, CA 92647",(714) 941-9940
California (CA),Granite Bay,"4040 Douglas Blvd, 								Granite Bay, CA 95746",(916) 773-0737
California (CA),Grossmont,"8200 Parkway Dr, 								La Mesa, CA 91942",(619) 465-4812
California (CA),Harbor Blvd,"3181 Harbor Blvd, 								Costa Mesa, CA 92626",(714) 435-0145
California (CA),Haun Rd. & New Hub Drive,"29847 Haun Rd, 								Menifee, CA 92586",(951) 430-2225
California (CA),Hidden Valley Parkway,"450 Hidden Valley Pkwy, 								Corona, CA 92879",(951) 279-4555
California (CA),Hollywood Drive-Thru Only,"6750 W Sunset Blvd, 								Los Angeles, CA 90028",(323) 533-1079
California (CA),Hopyard Road & 580,"5785 Johnson Dr, 								Pleasanton, CA 94588",(925) 331-8384
California (CA),Hopyard Road & Inglewood In-Line,"4501 Hopyard Rd, Suite D-1, 								Pleasanton, CA 94588",(925) 400-9494
California (CA),Huntington SW & 210,"820 W Huntington Dr, 								Monrovia, CA 91016",(626) 825-7064
California (CA),Hwy 125 & Jamacha,"931 Sweetwater Rd, 								Spring Valley, CA 91977",(619) 940-6064
California (CA),Hwy 210 & Ayala Drive,"1150 Renaissance Pkwy, 								Rialto, CA 92376",(909) 235-4151
California (CA),Hwy 215 & Nuevo Road,"1688 N Perris Blvd # K, 								Perris, CA 92571",(951) 657-0505
California (CA),Hwy 78 & Vista Village,"475 Hacienda Dr, 								Vista, CA 92081",(760) 607-9373
California (CA),Hwy 99 & Yosemite Ave,"1405 E Yosemite Ave, 								Manteca, CA 95336",(209) 239-2000
